TOWN,PCODE
"AQUADENE, Richards Bay",3900
"AQUAPARK, Tzaneen",0850
ARABIEDAM,0464
"ARAUNA, Brackenfell",7560
"ARBEX, Richards Bay",3904
"ARBOR PARK, Newcastle",2954
"ARBOR PARK, Tzaneen",0850
"ARBORETOM, Richards Bay",3900
ARBORETUM Boxes,9305
"ARBORETUM, Bloemfontein",9301
"ARBORPARK, Tzaneen",0850
ARCADIA Boxes,0007
"ARCADIA, East London",5201
"ARCADIA, Humansdorp",6300
"ARCADIA, Port Elizabeth",6059
"ARCADIA, Pretoria",0083
ARCON PARK Boxes,1937
"ARCON PARK, Vereeniging",1939
"ARDLEIGH PARK, Retreat",7785
"ARENA PARK, Chatsworth",4092
ARGENTINA - Buenos Aires,Z008
ARGENTINA - Other Areas,Z008
"ARGYLE, Johannesburg",2001
ARLINGTON (Serviced out of Bethlehem) (Tues & Thur,9602
"ARMADALE, Johannesburg",2013
ARMENIA,Z008
"ARNISTON, Western Cape",7280
"ARNOLDTON, East London",5247
ARNOT (Wednesday Only),1051
"ARTHUR'S PLACE, Johannesburg",2091
ARUBA,Z009
ASCENT,2456
"ASHBURNHAM, Kimberley",8301
"ASHBURTON, Pietermaritzburg",3201
"ASHDOWN, Plessislaer",4500
"ASHERVILLE, Durban",4091
"ASHERVILLE, Graaff-Reinet",6280
"ASHLEA GARDENS, Pretoria",0081
"ASHLEY, Pinetown",3610
"ASHTON (Serviced Tues, Thurs only)",6715
ASHWOOD Boxes,3605
"ASHWOOD, Pinetown",3610
"ASIATIC BAZAAR, Germiston",1401
ASKHAM (Monday Only),8814
"ASKRAAL ( Monday, Wednesday & Friday only)",6762
"ASPEN HEIGHTS, Port Elizabeth",6059
ASPEN HILLS,2059
"ASSAGAY, Hillcrest",3650
"ASSEGAI, Durban",4052
"ASTON BAY, Jeffreys Bay",6330
"ASTON LAKE, Springs",1559
ASTON MANOR Boxes,1630
"ASTON MANOR, Kempton Park",1619
ATAMELANG (Thursdays Only),2732
ATHLONE Cape Town,7764
ATHLONE Cape Town (Boxes),7760
"ATHLONE INDUSTRIA, Athlone",7764
"ATHLONE PARK, Amanzimtoti",4126
"ATHLONE, Durban",4051
"ATHLONE, Pietermaritzburg",3201
"ATHOLHURST, Johannesburg",2196
"ATHOLHURSTON, Johannesburg",2196
"ATHOLL Ext 12, Strath",2031
