TOWN,PCODE
DUIWELSKLOOF(MODJADJISKLOOF)(Tues & Thurs Only),0835
"DUIWELSKOP, Cape Town",8001
DUKATHOLE Boxes,5531
"DUKATHOLE, Aliwal North",5530
DULLSTROOM (Tuesday's Only),1110
"DUNCAN VILLAGE, East London",5209
"DUNCANVILLE, Vereeniging",1939
DUNDEE (via Newcastle),3000
DUNDONALD (Thursdays Only),2336
"DUNHILL, Johannesburg",2192
"DUNKELD WEST, Johannesburg",2196
"DUNKELD, Johannesburg",2196
"DUNMADELEY, Boksburg",1459
DUNNOTTAR,1590
DUNOON,7441
"DUNSEVERN, Johannesburg",2090
DUNSWART Boxes,1508
"DUNSWART, Benoni",1501
"DUNVEGAN, Edenvale",1609
"DUNVERIA, Pietermaritzburg",3201
DURBAN,4001
DURBAN  DEPOT,4001
DURBAN Boxes,4000
"DURBAN DEEP, Roodepoort",1724
DURBAN NORTH,4016
DURBAN NORTH,4051
"DURBAN VILLAS, Durbanville",7550
DURBAN-NOORD Busse,4016
"DURBAN-NOORD, Durban",4051
DURBANVILLE,7550
"DURBANVILLE Ext/Uit 13,",7550
"DURBANVILLE HILLS, Durbanville",7550
"DURBELL, Durbanville",7550
DURNACOL,3082
DURRHEIM Boxes,7491
"DURRHEIM, Matroosfontein",7490
DUTYWA (IDUTYWA),5000
"DUVHA PARK, Witbank/Emalahleni",1034
"DUXBURY, Riverclub",2149
"DUYNEFONTEIN, Melkbosstrand",7444
DWAALBOOM,0319
DWARS RIVER,0812
"DWARSKERSBOS, Velddrif",7365
DWARSLOOP (Tueday & Thursday),1280
DWARSRIVIER,0812
DWESHULA,4247
DYASONSKLIP (Special Trip),8805
DYNAMITE FACTORY,7120
DYSSELSDORP,6628
"DZANANI (Mon,Wed,Fri Only)",0955
DZIMAULI,0975
DZINGIDZINGI,0150
DZUMERI (Wednesday Only),0833
"EAGLE'S NEST, Plumstead",7800
"EARLSFIELD, Durban",4051
"EAST BANK, Johannesburg",2090
"EAST END, Bloemfontein",9300
"EAST END, DURBAN",4018
"EAST END, Rustenburg",0300
"EAST HAVEN, Retreat",7785
EAST LONDON,5201
EAST LONDON Boxes,5200
"EAST LYNNE, Pretoria",0186
"EAST PARK, Kagiso",1744
"EAST QUEENSBURGH Est/Lgd,",4093
EAST RAND Boxes,1462
"EAST RAND, Boksburg",1459
"EAST ROCK, Durbanville",7550
"EAST RURAL, Kraaifontein",75070
"EAST TOWN, Johannesburg",2195
"EAST VILLAGE, Boksburg",1459
"EASTBURY, Durban",4051
"EASTCLIFF, Hermanus",7200
"EASTCLIFF, Johannesburg",2190
"EASTDENE, Middelburg",1050
"EASTERN EXTENTION, George",6529
"EASTERN EXTENTION, Krugersdorp",1739
"EASTFIELD, Rusloo",1468
EASTGATE Boxes,2103
EASTGATE EXT 9,2090
"EASTGATE Ext/Uit 3, 4, 6,",2148
"EASTLAKE ISLAND, Muizenberg",7945
"EASTLAKE VILLAGE, Muizenberg",7945
"EASTLAKE, Muizenberg",7945
"EASTLEIGH, Edenvale",1609
"EASTRIDGE, Mitchells Plain",7785
"EASTVALE, Springs",1559
EASTWOLDS (Special Trip to be arranged),4562
"EASTWOOD, Pietermaritzburg",3201
"EASTWOOD, Pretoria",0083
EBENHAESER,8149
EBILANYONI,3185
"EBONY PARK, Midrand",1632
EBUHLENI,1909
"EDELWEISS & Ext/Uit, Springs",1559
"EDELWEISS Ext/Uit 1, Springs",1559
"EDEN GLEN & Ext/Uit 6, 15",1609
EDEN GLEN Boxes,1613
EDEN PARK,1455
"EDEN PARK Ext/Uit 1,",1455
"EDEN PARK, Brackenfell",7560
EDENBURG,9908
"EDENBURG, RIVONIA",2128
"EDENBURGH Est/Lgd, Claremont",7700
"EDENDALE, Durban",4505
"EDENDALE, Edenvale",1609
"EDENDALE, Pietermaritzburg",3217
EDENVALE,1609
"EDENVALE, T Boxes",1610
"EDENVALE, T Streets",1609
"EDENVILLE (Monday, Wednesday & Friday)",9535
EDGEMEAD Boxes,7407
EDGEMEAD Streets,7441
EDLEEN Boxes,1625
"EDLEEN, Kempton Park",1619
"EDONQABA, Kingwilliams/ Qonce",5600
"EDUAN PARK, Pietersburg",0699
EENDEKUIL,7335
"EENDEVILGELVLEY, Ladysmith",3370
EENDRAG (Tuesdays & Thursdays Only),2266
EERSTE RIVER,7100
EERSTEGOUD (Tuesdays & Thursdays Only),0701
EERSTEMYN Boxes,9466
"EERSTEMYN, Welkom",9459
EERSTERIVIER,7100
EERSTERIVIERSTRAND (Tuesdays's & Thursday's Only),6303
EERSTERUS,0022
"EERSTERUS Ext/Uit 6,",0022
"EFFINGHAM HEIGHTS, Durban",4051
EGAGASINI,3972
EGYPT - Cairo,Z007
EGYPT - Other Areas,Z008
"EHLANZENI DISTRICT MUNICIPALITY, Nelspruit",1200
EHRLICHPARK Boxes,9312
"EHRLICHPARK, Bloemfontein",9301
EIKEFONTEIN Boxes,7571
"EIKEFONTEIN, Kraaifontein",7570
"EIKENBOSCH, Belville",7530
EIKENHOF,1872
EIKENHOF,1872
"EKANDUSTRIA, Bronkhorstspruit",1020
EKANGALA,1021
EKHAYALIHLE,2510
"EKKLESIA, Pretoria",0186
EKSTEENFONTEIN,8284
EKULINDENI (Special Trip & Add Charges Apply),1301
EKUNDUSTRIA,1028
"EKUPHUMLENI, Khayelitsha",7784
"EKUPHUMLENI, Whittlesea",5360
"EKWENDENI, Pomeroy (Monday & Thursday)",3020
EL SALVADOR,Z008
EL SALVADOR - Other Areas,Z008
"ELANDIA, Klerksdorp",2570
"ELANDIA, Kroonstad",9499
ELANDS BAY (Tuesday's & Thursdays Only),8110
ELANDSBAAI (Tuesday's & Thursdays Only),8110
ELANDSFONTEIN,1406
"ELANDSFONTEIN RAIL, Elandsfontein",1406
"ELANDSFONTEIN SPOOR, Elandfontein",1406
"ELANDSGOUD, Carletonville",2508
"ELANDSHAVEN, Germiston",1401
"ELANDSHEUWEL, Klerksdorp",2570
ELANDSHOEK (Wednesday Only),1208
ELANDSKOP (Special Trip to be arranged),4540
ELANDSKRAAL,3017
"ELANDSKRAAL, Mooi Nooi",3017
ELANDSLAAGTE,2900
"ELANDSPARK, Johannesburg",2197
"ELANDSPOORT, Pretoria",0183
"ELANDSPRUIT, Middelburg",1050
"ELANDSRAND, Brits",0250
"ELANDSRAND, Carletonville",2500
ELANGENI,5259
ELARDUSPARK & Ext/Uit 1,0181
ELARDUSPARK Boxes,0047
"ELCEDES, Johannesburg",2094
ELDORADOPARK,1812
ELDORADOPARK Boxes,1813
ELDORADOPARK Ext/Uit 1,1812
"ELDORAIGNE & Ext/Uit 1, 3",0157
"ELECTRAPARK, Kimberley",8301
"ELECTRIC CITY, Eersteriver",7100
"ELECTRON, Johannesburg",2197
ELEPHANT PARK,6109
"ELFINDALE Est/Lgd, Bergvliet",7785
ELGIN,7180
ELIM Cape Town (Tuesday's & Thursday Only),7284
"ELIM, KuilsRiver",7580
"ELIM, Polokwane (Tues & Thurs Only)",0960
"ELLADOONE, Johannesburg",2197
"ELLATON, Klerksdorp",2570
ELLERTON FARM,3275
ELLIOT (48 Hours),5460
ELLIOTDALE (Wednesday Only),5070
"ELLIS PARK, Durban North",4051
"ELLIS PARK, Johannesburg",2094
ELLISRAS (LEPHALALE),0555
"ELMADAL, Polokwane",0750
"ELMAPARK, Edenvale",1609
ELMESTON,0532
"ELNOR Est/Lgd, Matroosfon",7490
"ELOFF ( Monday, Wednesday & Friday)",2211
"ELOFF (Monday,Wednesday & Friday)",2211
"ELOFFSDAL, Pretoria",0084
ELONWABENI,7791
"ELRICHT Est/Lgd, Paarl",7646
ELSBURG,1407
ELSENBURG,7607
ELSIE'S RIVER Boxes,7480
"ELSIES BAY, Simon's Town",7995
ELSIES RIVER,7490
"ELSIESBAAI, Simonstown",7995
"ELSIESHOF, Johannesburg",2094
ELSIESRIVIER Busse,7480
ELSIESRIVIER Strate,7490
ELSPARK Boxes,1418
"ELSPARK, Elsburg",1407
"ELTIVILLAS, Louis Trichar",0920
"ELTONHILL, Johannesburg",2196
"ELTORO PARK, Kimberley",8301
ELUKWATINI (Wednesday & Friday Only),1192
ELUKWATINI (Wednesday & Friday Only),1192
"ELUNDINI, Port Elizabeth",6200
"ELWYN PARK, Crawford",7764
"ELYSIUM, Durban",4185
EMAKHAZENI (BELFAST) (Tuesday & Thursday Only),1100
EMALAHLENI (WITBANK),1034
EMALAHLENI (WITBANK),1039
EMANGWENI (Wednesday & Friday Only),1341
"EMBALENHLE (Monday,Wednesday & Friday Only)",2285
EMBALI,2513
"EMBERTON, Gillitts",3610
"EMDENI & Ext/Uit, kwaXuma",1868
"EMDENI NORTH, kwaXuma",1868
"EMDENI SOUTH, kwaXuma",1868
"EMDENI-NOORD, kwaXuma",1868
"EMDENI-SUID, kwaXuma",1868
EMERALD HILL,6011
EMGWENYA (WATERVAL-BOVEN)(Wednesday Only),1195
EMJEJANE (HECTORSPRUIT),1330
"EMJINDINI, Barberton (Wednesday & Friday Only)",1300
EMLANJENI,0363
"EMMARENTIA & Ext/Uit,",2195
EMMARENTIA Boxes,2029
EMONDLO (Monday and Wednesday),3105
EMOYENI (Tuesday and Thursday),3805
"EMOYNENI, Nelspruit(Tuesday & Thursday Only)",1201
"EMPANGELA, Empangeni",3880
EMPANGENI,3880
EMPANGENI/STA,3910
EMPULUZI (Thursday's Only),2339
EMPUMALANGA,0458
EMPUNGA,3562
"EMZINONI, Bethal",2309
ENDICOTT,2255
"ENDO PARK, Pietersburg",0699
ENGCOBO (NGCOBO),5050
"ENHLALAKAHLE, Greytown",3500
"ENI SUPPLIES TA TATA SPARES, Hartbeespoort",0216
"ENKANYEZI, Colenso",3360
ENKELBULT,0556
ENNERDALE,1826
"ENNERDALE, Odin Park",1825
ENON,6125
ENTABENI,0307
ENTOKOZWENI (MACHADODORP) (Tuesday & Thursday Only,1170
ENTSHANGWE,3670
EPPINDUST,7475
"EPPING FOREST Est/Lgd,",7490
"EPPING INDUSTRIAL AREA,",7460
EPPING INDUSTRIELE GEBIED,7460
"EPSOM DOWNS, Sloane Park",2152
"EPSWORTH, Pietermaritzburg",3201
"EPWORTH, Pietermaritzburg",3201
EQUADOR,Z008
"EQUARAND, Newcastle",2940
EQUATORIAL GUINEA,Z008
"EQUESTRIA, Pretoria",0184
ERASMIA Boxes,0023
"ERASMIA, Pretoria",0183
"ERASMUS, Bronkhorstpruit",1020
ERASMUSKLOOF,0153
"ERASMUSRAND, Pretoria",0181
"ERIC DODD, Uitenhage/ Kariega",6230
"ERIC LOUWBURG ( Monday, Wednesday & Friday only)",6972
"ERICA Est/Lgd, Elsies River",7490
ERITREA,Z008
ERMELO,2350
"ERNESTVILLE, Kimberley",8301
"ESCOMBE, Queensburgh",4093
ESHOWE,3815
"ESIDUMBINI, Tongaat",4400
ESIKHAWINI,3887
ESKOM MATIMBA POWER STATION,0555
ESPAGSDRIF,8551
"ESSELEN PARK, Worcester",6850
ESSELENPARK,1626
ESSENWOOD,4001
"ESSEXVALE, Port Elizabeth",6070
"ESSEXWOLD, Bedfordview",2008
ESSOPVILLE (Monday. Wednesday & Friday),6970
ESTADEAL,6012
ESTANCIA,2331
ESTCOURT,3310
"ESTERA, Elsburg",1407
"ESTERPARK & Ext/Uit 1,",1619
"ESTOIRE, Bloemfontein",9301
ESTON (Remote area surcharge)( Monday Only),3740
ESTONIA,Z008
ETETE,4430
ETHIOPIA,Z008
ETHIOPIA,Z008
"ETWATWA, Daveyton",1507
EUCADOR - Other Areas,Z009
EUCADOR - Quito,Z009
"EUREKA Est/Lgd, Elsiesriver",7490
"EUREKA, Bethlehem",9700
"EUREKA, Burgersdorp",5520
"EUREKA, East London",5247
EVANDER,2280
"EVANS PARK, Johannesburg",2091
"EVATON, Residensia",1980
"EVELEIGH, Boksburg",1459
"EVEREST, Thokoza",1421
"EVERESTPARK, Ermelo",2350
"EVERGLEN, Durbanville",7550
"EVERGREEN,Fish Hoek",7975
"EVERSDAL HEIGHTS, Durbanville",7550
"EVERSDAL, Durbanville",7550
"EVERTON, Gillitts",3610
"EXCELSIOR (Tues,Wed & Fri Only)",9760
EXCOM,2023
"EXTON ROAD, BLOEMFONTEIN",9313
"EXTONWEG, BLOEMFONTEIN",9313
"EXXARO COAL MINE, Vaalwater (Mabatlane)",0530
EZAKHENI,2940
EZAKHENI,3381
"EZENZELENI, Warden (Serviced out of Bethlehem)",9890
"EZIBELENI, Queenstown / Komani",5320
"FABRICIA, Kimberley",8301
"FACTORIA, Krugersdorp",1739
"FACTRETON, Maitland",7405
FAERIE GLEN,0043
"FAERIE GLEN, Pretoria",0043
"FAERIE KNOWE, Fish Hoek",7975
"FAIRBREEZE, Tongaat",4400
"FAIRBRIDGE Est/Lgd, Maitland",7405
"FAIRBRIDGE HEIGHTS,Uitenhage/ Kariega",6230
"FAIRFIELD Est/Lgd, Parow",7500
FAIRLAND Boxes,2030
"FAIRLAND, Johannesburg",2195
"FAIRMEAD, Pietermaritzburg",3201
"FAIRMOUNT RIDGE, Johannesburg",2192
"FAIRMOUNT, Johannesburg",2192
"FAIRTREES, Durbanville",7550
"FAIRVALE, Johannesburg",2192
"FAIRVIEW Est/Lgd, Plumstead",7800
FAIRVIEW Port Elizabeth,6070
"FAIRVIEW, Barkly East/",5580
"FAIRVIEW, Bloemfontein",9301
"FAIRVIEW, Empangeni",3880
"FAIRVIEW, Faerie Glen",0043
"FAIRVIEW, Johannesburg",2094
"FAIRVIEW, Port Elizabeth",6070
"FAIRWAYS, Johannesburg",2196
"FAIRWAYS, Wynberg",7800
"FAIRWOOD, Johannesburg",2192
"FAIRYGLEN, Worcester",6850
"FALCONRIDGE, Vereeniging",1939
"FALLODEN PARK, Durban",4094
"FALSE BAY, Muizenberg",7945
"FAMO PARK, Pietersburg",0699
"FARM 465, Kathu",8446
FARM BRAKFONTEIN,2550
"FARM DEWDROP INN, Queenstown",5320
FARM DOORNHOEK 910,0316
FARM KROKODILKRAAL,0361
"FARM MOOIUITZICHT, Bonnievale",6730
"FARM WELTEVREDEN, Witkop",9540
"FARMALL, CHARTWELL WEST ( Plot )",2191
"FARMEDGE, Retreat",7785
"FARMSIDE, Retreat",7785
"FARNINGHAM RIDGE, Pinetown",3610
FAROE ISLANDS,Z009
"FARRAR PARK, Boksburg",1459
"FARRARMERE & Ext/Uit 21,",1501
FARRARMERE Boxes,1518
"FAUNA PARK, Pietersburg",0699
"FAUNA PARK, Virginia",9431
"FAUNA, Bloemfontein",9301
FAUNASIG Boxes,9325
"FAUNASIG, Bloemfontein",9301
FAURE,7131
FAURESMITH (Thursday Only),9978
FAWN LEAS,3475
"FELEKISI, Amanzimtoti",4126
FELIXTON,3875
"FELLSIDE, Johannesburg",2192
"FERGUSON Tsp/Dgd, Port Elizabeth/ Gqeberha",6001
"FERNCLIFF, Pietermaritzburg",3201
"FERNDALE & Ext/Uit 3 & 6,",2194
FERNDALE Boxes,2160
"FERNDALE Est/Lgd,Newlands",7700
"FERNDALE RIDGE, Randburg",2194
"FERNDALE, Brackenfell",7560
"FERNDALE, Randburg",2194
"FERNESS Est/Lgd, Ottery",7800
"FERNGLEN, Port Elizabeth",6045
"FERNKLOOF, Hermanus",7200
"FERNRIDGE, George",6529
"FERNWOOD Est/Lgd,Newlands",7700
"FERRAX, Newcastle",2953
"FERREIRA TOWN, Jefferys Bay",6330
"FERREIRA, Bloemfontein",9301
FERREIRASDORP Boxes,2048
"FERREIRASDORP, Johannesburg",2001
"FERROBANK, Witbank/ Emalahleni",1035
"FERRYVALE, Nigel",1490
"FICHARDTPARK, Bloemfontein",9301
FICKSBURG,9730
FIELD POST OFFICE 1,0106
"FIELDS HILL, Pinetown",3610
FIJI - Other Areas,Z008
FIJI - Suva,Z008
"FILLIAN PARK, Pietermaritzburg",3201
"FINGO VILLAGE, Grahamstown ( Makhanda)",6140
FINLAND - Helsinki,Z005
FINLAND - Other Areas,Z006
"FINSBURY, Randfontein",1760
"FIONA Est/Lgd, Ysterplaat",7405
FIRGROVE Boxes,7110
FIRGROVE Streets,7130
"FIRWOOD Est/Lgd, Queensburg",4093
"FISANTEKRAAL, Durbanville",7550
FISH HOEK,7975
FISH RIVER,5883
FISHER'S HILL Boxes,1408
"FISHER'S HILL, Germiston",1401
FISHERHAVEN,7200
"FLAGSTAFF (Monday,Wednesday & Friday)",4810
FLAGSTAFF (Serviced out of ELS only Fridays),4810
"FLAMBOYANT PARK, Queensburg",4093
"FLAMINGO HEIGHTS, Tongaat",4400
"FLAMINGO PARK, Welkom",9459
"FLAMINGO VILLAGE, Milnerton",7441
"FLAMINGOVLEI, Table View",7441
FLAMWOOD Boxes,2572
"FLAMWOOD, Klerksdorp",2570
"FLEURDAL, Bloemfontein",9301
"FLEURHOF, Florida",1709
"FLIMIEDA, Klerksdorp",2570
"FLINTDALE Est/Lgd, Southfield",7800
"FLOORS, Kimberley",8301
"FLORA FARM, THORN PARK, East London",5241
"FLORA GARDENS, Vanderbijlpark",1911
"FLORA PARK Ext/Uit 3,",2430
"FLORA PARK, Upington",8800
"FLORA, Bloemfontein",9301
"FLORACLIFFE, Florida",1709
"FLORAPARK, Pietersburg",0699
"FLORAPARK, Tzaneen",0850
"FLORAUNA, Pretoria",0182
"FLORENTIA, Alberton",1449
FLOREX Boxes,1714
"FLOREX, Florida",1709
"FLORIAN PARK, Worcester",6850
FLORIANVILLE Boxes,8320
"FLORIANVILLE, Kimberley",8301
FLORIDA,1709
FLORIDA Boxes,1710
"FLORIDA Est/Lgd, Ravensme",7490
"FLORIDA Ext/Uit 3 & 11,",1709
"FLORIDA Ext/Uit, Florida",1709
"FLORIDA GLEN, Florida",1709
FLORIDA HILLS & Ext/Uit 2,1709
FLORIDA HILLS Boxes,1716
"FLORIDA LAKE, Florida",1709
"FLORIDA MEER, Florida",1709
"FLORIDA NORTH, Florida",1709
"FLORIDA PARK, Florida",1709
"FLORIDA ROAD, DURBAN",4019
FLORIDA Streets,1709
"FLORIDA VIEW, Florida",1709
"FLORIDA-NOORD, Florida",1709
"FLORIDAWEG, DURBAN",4019
"FLORODALE, Durbanville",7550
FOCHVILLE,2515
FONDWE (Tuesday & Thursday Only),0969
FONTAINEBLEAU,2032
"FONTAINEBLEAU, Randburg",2194
FONTEINRIET Boxes,1464
"FONTEINRIET, Boksburg",1459
"FORBES, Athlone",7764
"FORBESDALE, Johannesburg",2192
"FORDERVILLE, Estcourt",3310
FORDSBURG Boxes,2033
"FORDSBURG, Johannesburg",2092
"FORDVILLE, New Brighton",6200
"FORESHORE, Cape Town",8001
"FOREST GLADE, Tokai",7785
"FOREST HAVEN, Durban",4051
"FOREST HILL, Johannesburg",2190
"FOREST HILL, Port Elizabeth/ Gqeberha",6001
"FOREST HILLS, Pinetown",3610
"FOREST TOWN, Johannesburg",2193
"FOREST VILLAGE, Eersteriver",7100
"FORMAIN, Johannesburg",2090
FORT BEAUFORT - Port Elizabeth,5720
FORT BEAUFORT - Port Elizabeth,5720
"FORT GALE, Mthatha",5100
FORT JACKSON,9996
"FOSA, Durban",4051
FOUNDERS HILL,1609
"FOUNDERS VIEW, Edenvale",1609
"FOUNTAIN VILLAGE, Eersterfontein",7100
"FOUR FEET FARM, Dalton",3470
FOURIES POULTRY FARM,2520
FOURIESBURG (Serviced out of Bethlehem),9725
FOURIESRUS,0024
FOURWAYS,2055
"FOURWAYS GARDENS, FOURWAYS",2191
"FOURWAYS, BRYANSTON",2191
"FRAMESBY & Ext/Uit, Port Elizabeth",6045
"FRAMESBY Ext/Uit 1, Port Elizabeth",6045
"FRAMTON, Johannesburg",2091
FRANCE - Other Areas,Z006
FRANCE - Paris,Z005
"FRANCIS EVATT PARK, Port Elizabeth",6025
"FRANKENWALD, Sandton",2090
FRANKFORT (Serviced out of Bethlehem),9830
"FRANKLIN (Monday,Wednesday & Friday)",4610
"FRANKLIN, Johannesburg",2195
FRANSCHHOEK,7690
FRANSKRAAL,7220
"FRANSVILLE, Witbank/Emalahleni",1034
FRASER'S CAMP,6152
FRASERBURG (Monday & Thursday),6960
"FREDERIKSTAD/STA, Boskop",2528
FREEMANVILLE Boxes,2573
"FREEMANVILLE, Klerksdorp",2570
"FREEWAY PARK & Ext/Uit 1,",1459
FRENCH GUIANA,Z009
FRENCH POLYNESIA,Z009
"FRERE Est/Lgd, Rondebosch",7780
"FRESNAYE, Cape Town",8001
FRIEDENHEIM,1200
FRIEMERSHEIM (Monday & Wednesdy),6526
"FRIERSDALE (Monday,Wednesday& Friday)",8861
"FROGGY POND, Simonstad",7995
"FROGMORE Est/Lgd, Retreat",7785
FRYLINCKSPAN (Special Only),8466
FULLARTON,6681
"FULLERS BAY, East London",5201
FUMANI  (Tuesday & Thursday Only),0937
"FUTURA & Ext/Uit 18, Pietersburg",0699
FYNNLAND,4020
"FYNNLAND, Durban",4052
GA MAKANYE,0728
"GA MOGOTHLANE, Zebediela",0627
"GA MOLEPO, Polokwane",0700
GA TISANA,1064
"GA-MANKOPANE ( Mon, Wed & Fri only)",0739
"GA-MAPODILE, Steelpoort",1133
GA-MASHA NGWAABE VILLAGE,1058
"GA-MASHA VILLAGE, Groblersdal",0470
GA-MOLEPANE,1085
"GA-WALLY, Tzaneen",0850
GABON - Libreville,Z008
GABON - Other Areas,Z008
GABON - Port Gentil,Z008
GADIKGALE,0721
GAKGAPANE (Tues & Thurs Only),0838
GALEBELO,0615
GALEDWABA,0737
GALEHEATH,4021
GALESHEWE Boxes,8330
"GALESHEWE VILLAGE, Mankurawane",8345
"GALESHEWE, Mankurwane",8345
"GALLEON Est/Lgd, Milnerton",7441
GALLO MANOR,2052
GALLO MANOR Boxes,2052
"GALLO MANOR Ext/Uit 3, Wendywood",2148
GALUKA,0322
GAMADIBA,0626
GAMALAKHE (Special Trip to be arranged- DUR),4249
GAMALAPILE (Tuesdays Only),0774
GAMAMABOLO,0742
GAMARABA,0705
GAMAROTA,1151
"GAMASHAMOTHANE, Burgersfort",1150
"GAMATLALA, Bakone  (Wednesday Only)",0746
GAMBIA,Z007
"GAMBLE, Uitenhage",6241
GAMBLEVILLE,6241
GAMOKGWATI,0861
GAMOLOI,1085
GAMOLOI (Monday & Wednesday's),1061
GAMONYEKI,0552
GAMOTHAPO,0734
GAMOTHIBA,0726
GAMOTHIPA,0726
GAMPHAHLELE,0736
GAMTOOS,6360
GANCHABELENG,1124
GANKOANA,1124
GANKWANA,0740
GANS BAY,7220
GANSBAAI,7220
GANSPAN,8552
GANTATELENG,8460
GANYESA,8613
GARAGAMS,8223
GARAKGWADI,1068
GARAMOKGOPA (Tuesday & Thursday Only),0811
GARAMOSHWANE (Monday & Wednesday Only),0715
GARANKUWA,0208
"GARDEN CITY, Milnerton",7441
GARDEN VIEW,2047
"GARDEN VILLAGE, Daveyton",1507
"GARDEN VILLAGE, Maitland",7405
"GARDEN VILLAGE, Somerset",7130
"GARDENIA PARK, Bloemfontein",9301
"GARDENS, Cape Town",8001
"GARDENS, Johannesburg",2192
GARIEP,5982
"GARIEPWATER, Grootdrink  (Thursday Only)",8822
GARIES,8220
"GARLANDDALE, Lansdowne",7780
"GARLMORE, Pinetown",3610
GARSFONTEIN Boxes,0042
"GARSFONTEIN EAST, Pretoria",0042
"GARSFONTEIN WEST, Pretoria",0042
"GARSFONTEIN, Pretoria",0042
"GARSFONTEIN-OOS, Pretoria",0042
"GARSFONTEIN-WES, Pretoria",0042
"GARTHDALE AH, Vereeniging",1871
GASEGONYANA,8480
GASEHUNELO Boxes,9315
"GASEHUNELO, Bloemfontein",9323
GASEKGOPO,0802
"GASEKORORO (Mon,Wed,Fri)",0889
"GASOLINE ALLEY, H/HOUSE",A006
"GASOLINE ALLEY, Pretoria",A007
"GASTROW, Strand",7140
"GATELY Tsp/Dgd, East London",5201
GATESVILLE,7764
"GATKOPPIES,Postmasburg",8420
GATLHOSE (Tuesday & Thursday),8461
"GAYDONS, Johannesburg",A008
"GAYLANDS, Constantia",7800
"GAYLEE, Blackheath",7581
"GAZEBO FARM, Bulshoekdam, Clanwilliam",8135
GEDENK,0537
"GEDULD & Ext/Uit, Springs",1559
GEDULD Boxes,1562
"GEDULD Ext/Uit 1, Springs",1559
GEDULDPAN,9468
"GEELHOUTPARK & Uit, Rustenburg",0300
"GEELHOUTPARK Uit 4, Rustenburg",0300
"GELDENHUYS SlHs/Khw, Primrose",1401
GELUKSBURG (Tuesday & Thursday),3377
GELUKSDAL,1546
"GELUKSPAN, Lichtenburg ( Wednesday Only)",2740
GELUKSPRUIT  (Special Only),8812
"GELUKWAARTS,Kroonstad",9499
"GELVAN PARK, Port Elizabeth",6020
GELVANDALE Boxes,6016
"GELVANDALE, Port Elizabeth",6020
"GEMDENE, Kimberley",8301
"GEMSBOK, Bloemfontein",9301
"GEMSBOKHOEK, Middelburg",1050
GEMSBOKSPRUIT,0458
GENADENDAL (Serviced Tues & Thurs Only),7234
"GENERAAL ALBERTSPARK, Alberton",1449
"GENERAAL DE WET, Bloemfontein",9301
"GENERAAL KEMP HEUWEL, Pretoria",0187
"GENEVAFONTEIN, George",6529
GEORGE,6529
GEORGE (Serviced out of PLZ),6529
"GEORGE BOTHAPARK, Ermelo",2350
GEORGE Boxes,6530
GEORGE EAST Boxes,6539
"GEORGE EAST, George",6529
"GEORGE GOCH, Johannesburg",2094
GEORGE-INDUSTRIA Boxes,6536
"GEORGE-INDUSTRIA, George",6529
GEORGE-OOS Busse,6539
"GEORGE-OOS, George",6529
GEORGEDALE,3710
"GEORGETOWN, Germiston",1401
"GEORGEVILLE, Pretoria",0184
"GEORGIA, REPUBLIC OF",Z008
"GEORGINIA, Roodepoort",1724
"GERALD SMITH, Uitenhage",6241
GERDAU (Wednesday Only),2729
"GERDVIEW, Primrose",1401
GERMANY - Dusseldorf,Z005
GERMANY - Frankfurt,Z005
GERMANY - Hamburg,Z005
GERMANY - Munich,Z005
GERMANY - Other Areas,Z006
GERMEX Boxes,1409
"GERMEX, Germiston",1401
GERMISTON,1401
GERMISTON Boxes,1400
"GERMISTON EAST, Germiston",1401
"GERMISTON NORTH, Germiston",1401
GERMISTON SOUTH Boxes,1411
"GERMISTON SOUTH, Germiston",1401
"GERMISTON WEST, Germiston",1401
"GERMISTON-NOORD, Germiston",1401
"GERMISTON-OOS, Germiston",1401
GERMISTON-SUID Busse,1411
"GERMISTON-SUID, Germiston",1401
"GERMISTON-WES, Germiston",1401
"GEVANGENISTERREIN, Kroonstad",9499
"GEVANGENISTERREIN, Pretoria",0002
GEYSDORP (Wednesday Only),2771
"GEZINA, Pretoria",0084
"GEZINSILA, Eshowe",3815
GEZUBUSO,4515
GHANA - Accra,Z007
GHANA - Other Areas,Z008
"GHOLFSIG, Middelburg",1050
"GIBBONSVILLE, Rugby",7405
GIBRALTAR - Gibraltar,Z008
"GIJIMA, Lamontville",4027
GILLITTS (Natal) Boxes,3603
"GILLITTS, Pinetown",3610
"GILLVIEW, Johannesburg",2091
GINGINDLOUV,3800
"GINSBURG, Kingwilliams/ Qonce",5600
GINYINTSIMBI ( Monday only),5080
GIYANI,0826
"GLEBELANDS, Ntokozweni",4066
"GLEEMOOR, Athlone",7764
"GLEN ALPHINE Est/Lgd,Constantia",7800
"GLEN ANIL, Durban",4051
"GLEN ATHOLL, Johannesburg",2090
"GLEN AUSTIN, Halfway House",1685
"GLEN BARRIE, George",6529
GLEN COWIE  (Mondays & Wednesday's Only),1061
"GLEN DONALD, Vereeniging",1935
"GLEN EDEN ESTATE, East London",5259
"GLEN ERASMIA, Kempton Park",1619
"GLEN HARMONY, Virginia",9435
"GLEN HARMONY, Virginia",9430
"GLEN HILLS, Durban",4051
"GLEN HURD, Port Elizabeth",6045
"GLEN IVE, Bellville",7530
"GLEN IVE, Durbanville",7550
